sampleTimeStamp.seconds;sampleTimeStamp.microseconds;lat;lon;speed;accel_x;accel_y;accel_z
90066554;895574;37.71876148;1.958069239;0.01623408;-0.8444923;0.1022399;0.4237049
90066554;945599;37.718761397;1.958069179;0.04662633;-0.668745;-0.1258405;-0.1302022
90066554;995606;37.71876132;1.958069086;0.08734068;-0.9835685;0.1231426;0.2337481
90066555;45596;37.718761249;1.95806896;0.1259707;-0.7277404;-0.1817489;-0.2004235
90066555;95560;37.718761183;1.958068803;0.1655368;-0.8486654;0.07348659;0.06641605
90066555;145602;37.718761123;1.958068616;0.2001111;-0.6911783;-0.121459;-0.2259842
90066555;195612;37.718761068;1.958068399;0.2395098;-0.8817868;0.1063761;0.1102339
90066555;245543;37.718761039;1.958068154;0.2748289;-0.6518968;-0.1288908;-0.1939749
90066555;295612;37.718761067;1.958067877;0.3157667;-0.9034342;0.1257638;0.2706801
90066555;345551;37.718761101;1.95806757;0.3534335;-0.7057287;-0.115673;-0.1175273
90066555;395565;37.71876114;1.958067231;0.3977418;-0.9611551;0.1024586;0.2545981
90066555;445902;37.718761186;1.958066857;0.4415222;-0.8725309;-0.1549342;0.0007627075
90066555;495627;37.718761238;1.958066447;0.4910404;-1.036656;-0.03717339;-0.03724098
90066555;545615;37.718761298;1.958065995;0.5456723;-1.130846;0.09871539;0.1866057
90066555;595574;37.718761366;1.958065498;0.6049496;-1.241084;-0.03325236;0.1294964
90066555;645582;37.718761443;1.958064953;0.6658596;-1.276467;-0.1026151;0.0180452
90066555;695577;37.718761529;1.958064359;0.7302131;-1.300929;-0.05037307;0.005490756
90066555;745609;37.718761623;1.958063712;0.7956708;-1.315992;-0.0225835;-0.01414359
90066555;795654;37.718761727;1.958063013;0.8634941;-1.361566;0.02452186;0.07015388
90066555;845572;37.71876184;1.958062259;0.931195;-1.345597;0.01803352;0.05059729
90066555;895608;37.718761962;1.958061452;1.000266;-1.38821;0.02092441;0.05018385
90066555;945581;37.718762093;1.958060588;1.071209;-1.393638;0.04349643;0.1653263
90066555;995630;37.718762235;1.958059667;1.145;-1.494956;0.02694826;0.1128501
90066556;45571;37.718762387;1.958058686;1.222366;-1.597419;0.004144719;0.1679469
90066556;95667;37.718762551;1.958057642;1.30568;-1.749776;-0.03340314;0.04080114
90066556;145646;37.718762726;1.958056528;1.39593;-1.822001;-0.01458492;0.09161837
90066556;195680;37.718762915;1.95805534;1.493445;-2.019782;-0.04319959;0.2483799
90066556;245666;37.718763124;1.958054073;1.595528;-2.010019;-0.003288073;0.1236282
90066556;295657;37.718763359;1.958052726;1.69875;-2.12956;-0.1064838;0.06142064
90066556;345653;37.71876361;1.958051297;1.80228;-2.025778;0.027263;0.008455322
90066556;395615;37.718763875;1.958049786;1.907252;-2.198004;-0.04890189;0.05766726
90066556;445889;37.718764156;1.958048191;2.012184;-2.100999;-0.04292072;0.115997
90066556;495650;37.718764451;1.958046513;2.116541;-2.007658;0.0007538478;0.08727646
90066556;545590;37.718764761;1.958044753;2.218393;-2.094607;0.02892686;0.04160729
90066556;595599;37.718765086;1.958042914;2.315151;-1.837279;0.06933162;0.1040004
90066556;645618;37.718765422;1.958040998;2.410623;-1.844005;0.09930404;0.1697979
90066556;695617;37.718765769;1.958039006;2.502169;-1.840613;-0.02742578;0.04446762
90066556;745633;37.718766129;1.958036943;2.591576;-1.78455;-0.03730607;0.0835433
90066556;795630;37.718766504;1.958034809;2.680742;-1.643375;0.02718077;0.196954
90066556;845604;37.718766891;1.958032606;2.768164;-1.709916;0.04853335;0.05072106
90066556;895618;37.71876729;1.958030334;2.855017;-1.749827;0.1374524;0.1340299
90066556;945624;37.718767702;1.958027992;2.943134;-1.703734;-0.1079506;0.0915046
90066556;995649;37.718768128;1.958025581;3.033879;-1.844294;0.08947289;0.007840844
90066557;45615;37.718768565;1.958023097;3.123538;-1.694315;-0.01645007;0.04056292
90066557;95624;37.718769013;1.958020539;3.216629;-1.869788;-0.06849588;0.149026
90066557;145672;37.718769474;1.958017907;3.309326;-1.808071;-0.07963008;0.1709119
90066557;195669;37.718769948;1.958015201;3.401855;-1.739701;0.002501468;0.1693374
90066557;245609;37.718770436;1.958012423;3.495354;-1.776842;0.04418232;0.06283432
90066557;295665;37.718770938;1.958009571;3.589606;-1.877699;0.07610722;0.09321428
90066557;345658;37.718771454;1.958006644;3.687391;-1.888305;-0.1634728;0.106331
90066557;395646;37.718771986;1.958003641;3.785882;-1.967101;-0.008827799;-0.05479788
90066557;445984;37.718772531;1.958000558;3.885177;-1.977456;0.02150839;0.09820451
90066557;495658;37.718773089;1.957997396;3.982261;-1.824721;0.02464625;0.1541951
90066557;545670;37.718773661;1.957994157;4.080553;-2.050314;-0.008652381;0.1376373
90066557;595697;37.718774246;1.95799084;4.178102;-1.912153;0.01701865;-0.02460332
90066557;645742;37.718774845;1.957987442;4.28164;-2.092249;0.179892;0.3250876
90066557;695668;37.718775456;1.957983961;4.384507;-1.986887;0.07333695;0.09676038
90066557;745659;37.718776081;1.957980398;4.491048;-2.190212;0.07023003;0.16415
90066557;795715;37.718776721;1.957976749;4.595196;-2.177106;0.08647809;-0.01249834
90066557;845633;37.718777374;1.957973018;4.696146;-1.947315;-0.002171416;0.1050434
90066557;895650;37.718778041;1.957969211;4.785452;-1.570878;-0.1168185;-0.06413911
90066557;945660;37.718778722;1.957965332;4.883831;-2.059803;0.1170315;-0.09306895
90066557;995695;37.718779417;1.957961373;4.984009;-1.907451;-0.1279688;-0.02246641
90066558;45655;37.718780127;1.957957333;5.08882;-1.992702;-0.2768698;-0.257409
90066558;95642;37.718780855;1.95795321;5.194294;-2.114617;-0.01608168;-0.259626
90066558;145694;37.718781597;1.957949003;5.303443;-2.175775;0.1634949;-0.2447039
90066558;195713;37.718782353;1.957944709;5.411835;-2.299844;0.0296746;0.04208466
90066558;245689;37.718783122;1.957940323;5.529036;-2.264194;0.009761339;0.386536
90066558;295681;37.718783907;1.957935849;5.64008;-2.162713;-0.04646019;0.1931966
90066558;345684;37.718784708;1.957931287;5.753431;-2.414883;0.386371;0.3670915
