sampleTimeStamp.seconds;sampleTimeStamp.microseconds;lat;lon;speed;accel_x;accel_y;accel_z
90066792;3576;37.718798553;1.958348598;0.09344396;0.0340612;-0.0367315;0.04142358
90066792;53520;37.718798569;1.958348518;0.09302904;-0.0543692;0.0265648;-0.06914654
90066792;103509;37.718798585;1.958348438;0.09519712;0.101629;-0.0627829;0.1091133
90066792;153555;37.718798601;1.958348357;0.09455806;-0.0483371;0.0278948;-0.1262509
90066792;203625;37.718798617;1.958348275;0.09654047;0.116677;-0.0490166;0.1173826
90066792;253546;37.718798632;1.958348196;0.09631298;-0.0476056;0.0239924;-0.0968725
90066792;303608;37.718798645;1.958348126;0.09810539;0.0916287;-0.0228944;0.1117386
90066792;353532;37.718798658;1.958348055;0.09811574;-0.0733521;0.0375132;-0.0896042
90066792;403539;37.71879867;1.958347984;0.09926309;0.0420668;0.0229241;0.05756808
90066792;453737;37.718798683;1.958347912;0.09962723;-0.0461468;0.0116645;0.0001601383
90066792;503531;37.718798697;1.958347839;0.1005356;0.013979;0.0202412;-0.02282132
90066792;553546;37.71879871;1.958347766;0.1013924;0.010659;-0.0168143;0.0353181
90066792;603577;37.718798723;1.958347692;0.1015183;0.00442924;0.000941013;-0.02987666
90066792;653582;37.718798737;1.958347617;0.1029624;0.0664857;-0.0733816;0.06624603
90066792;703548;37.71879875;1.958347542;0.1031728;-0.0395075;0.0170305;-0.1034413
90066792;753630;37.718798764;1.958347466;0.1047809;0.10129;-0.0610827;0.1237959
90066792;803669;37.718798778;1.958347389;0.1042833;-0.0572625;0.0492844;-0.10166
90066792;853575;37.718798791;1.958347312;0.1061139;0.080413;-0.00343432;0.08757502
90066792;903559;37.718798806;1.958347234;0.1059812;-0.0581026;0.034091;-0.08653283
90066792;953570;37.71879882;1.958347155;0.1075804;0.0691199;0.0106708;0.07855711
90066793;3626;37.718798834;1.958347076;0.1080122;-0.0381634;0.0191477;-0.02524189
90066793;53562;37.718798848;1.958346996;0.1087736;0.0159526;0.0100079;-0.003755337
